id,title,language_name,language_glottocode,example_languages
4812,Introducing Glossa,,,
4813,Propping up predicates: Adjectival predication in Tłı̨chǫ Yatıı̀,,,dogr1252
4814,Verb-second word order after German weil ‘because’: Psycholinguistic theory from corpus-linguistic data,,,stan1295
4815,Syntax-phonology mapping and the Tongan DP,,,tong1325
4816,Addressing the “two interface” problem: Comparatives and superlatives,,,
4817,Velar palatalization in Chilean public speech,,,
4818,Modeling of problems of projection: A non-countercyclic approach,,,
4819,Subject-object asymmetries in Persian argument ellipsis and the anti-agreement theory,,,west2369
4820,A precedence-free approach to (de-)palatalisation in Japanese,,,
4822,Wide-focus subject-verb inversion in Ibero-Romance: A locative account,,,
4824,Transderivational relations and paradigm gaps in Russian verbs,,,
4826,"Degree quantifiers, bare quantifiers and intensifiers in the midfield: A new look at quantification at a distance",,,stan1290
4827,Two ways of encoding location in Greek: Locative applicatives and prepositions,,,"chag1248:2, mode1248:3-"
4828,Agreement and the structure of relative clauses,,,sout1528
4829,"Anticausatives are weak scalar expressions, not reflexive expressions",,,
4830,Inter- and intra-speaker variation in French schwa,,,
4831,How allomorphic is English article allomorphy?,,,
4834,Vocoid-driven processes: Palatalization and glide hardening in Greek and its dialects,,,
4835,Velar palatalization in Slovenian: Local and long-distance interactions in a derived environment effect,,,
4849,Review article of Waltraud Paul’s New Perspectives on Chinese Syntax (2015),,,mand1415
4853,Book review of Yoad Winter’s Elements of formal semantics (2016),,,
4856,Two Negations for the Price of One,,,
4857,Language as an instrument of thought,,,
4864,When you isn’t you: The attraction of self-ascription in children’s interpretation of pronouns in reported speech,,,dutc1256
4865,Noun complement clauses as referential modifiers,,,
4867,Partitive descriptions in Korean,,,kore1280
4868,Confronting perspectives: Modeling perspectival complexity in language and cognition,,,
4871,The comprehension of Italian relative clauses in poor readers and in children with Specific Language Impairment,,,ital1282
4874,Suspended morphology in Serbian: clitics vs. affixes,,,sout1528
4877,Distributionally constrained items in child language: the acquisition of superweak NPI shenme ‘a/some’ in Mandarin Chinese,,,
4921,Reduplication in Russian verbs and adjectives: motivating form with morphosyntactic constraints,,,
4932,Looking forwards and backwards: The real-time processing of Strong and Weak Crossover,,,
4952,Seeking control in Modern Standard Arabic,,,
4953,Universal quantifier PPIs,,,
4956,"Control, temporal orientation, and the cross-linguistic grammar of trying",,,
4958,2 + 2 = 3: Number contrasts in Blackfoot,,,siks1238
4961,Branchingness constraints on heads and dependents in Munster Irish stress,,,
4962,Preliminary remarks on the nominal phrase in Cape Verdean: The semantics of bare nouns cross-linguistically,,,
4963,An fMRI study on the processing of long-distance wh-movement in a second language,,,
4964,Co-speech gesture projection: Evidence from truth-value judgment and picture selection tasks,,,
4965,Gender exponence and apparent polarity in a class of Omani Mehri plurals,,,
4966,Resolving (DAT = ACC) ≠ GEN,,,
4967,The primitives of the lexicon: Insights from aspect in idioms,,,
4968,Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English,,,
4969,In support of representational economy: Agreement in heritage Spanish,,,
4970,"History of focus-concord constructions and focus-associated particles in Sinhala, with comparison to Dravidian and Japanese",,,
4971,"(Dis)agreement, polarity, and focus: Answering negative polar questions in Italian",,,
4972,Redrawing the margins of language: Lessons from research on ideophones,,,
4973,"Intonation, yes and no",,,
4974,Constraints on Argument Linearization in German,,,
4975,Subject Clitics: New Evidence from Old Nubian,,,
4976,*ABA in stem-allomorphy and the emptiness of the nominative,,,
4977,Sinhala focus concord constructions from a discourse-syntactic perspective,,,
4978,Phonology and orthography: The orthographic characterization of rendaku and Lyman’s Law,,,
4979,Universals in possessive morphology,,,
4980,Suspended Affixation as Morpheme Ellipsis: Evidence from Ossetic Alternative Questions,,,
4981,Post-focal and factive deaccentuation in Persian,,,
4982,"A unified semantics for the Japanese Q-particle ka in indefinites, questions and disjunctions",,,nucl1643
4983,*ABA and the combinatorics of morphological features,,,
4984,To accommodate or to ignore?: The presuppositions of again and continue across contexts,,,
4985,Intervention effects in the relative clauses of agrammatics: The role of gender and case,,,
4986,Reciprocal expressions and the Maximal Typicality Hypothesis,,,
4987,The cost of raising quantifiers,,,
4988,Is German discourse-configurational? Experimental evidence for a topic position,,,
4989,The structure of approximative numerals in German,,,stan1295
4990,"The internal, the external and the hybrid: The state of the art and a new characterization of language as a natural object",,,
4991,Mass-count distinction in Chinese-English bilingual students,,,
4992,Existential unaccusativity and new discourse referents,,,
4993,"Modifying plurals, classifiers, and co-occurrence: The case of Korean",,,
4994,C-T Inheritance and the left periphery in Old Japanese,,,
4995,Offline interpretation of subject pronouns by native speakers of Spanish,,,
4996,"If you cannot agree, move on! On labels and non-nominative subjects",,,
4997,Grammatical versus lexical words in theory and aphasia: Integrating linguistics and neurolinguistics,,,
4998,The left edge of the word in the Berber derivational morphology,,,
4999,Deconstructing categories syncretic with the nominal complementizer,,,
5000,No longer an orphan: evidence for appositive attachment from sentence comprehension,,,
5001,"The scope of children’s scope: Representation, parsing and learning",,,
5002,"On the unified analysis of three types of relative clause construction in Japanese, and on the “salient reading” of the internally headed type. A reply to Erlewine & Gould (2016)",,,
5003,Unergatives are different: Two types of transitivity in Samoan,,,
5004,Mincing words: Balancing recovery and deletion in word truncation,,,
