Book_ID	Filename	Language	Title
76	01.tex		Development of a keystroke logged translation corpus
76	02.tex		Racism goes to the movies: A corpus-driven study of cross-linguistic racist discourse annotation and translation analysis
76	03.tex		Building a trilingual parallel corpus to analyse literary translations from  German into Basque
76	04.tex		Variation in translation: Evidence from corpora
76	05.tex		Non-human agents in subject position:  T ranslation from  English into Dutch : A corpus-based translation study of “give” and “show”
76	06.tex		Investigating judicial phraseology with COSPE: A contrastive corpus-based study
76	introduction.tex		Creating and using multilingual corpora in translation studies
81	brun_etal.tex		A new dialectometric approach applied to the  Breton  language
81	cari_etal.tex		Tongue trajectories in  N orth  A merican  E nglish /æ/ tensing
81	fuku.tex		Tracing real and apparent time language changes by comparing linguistic maps
81	ghys.tex		From diglossia to diaglossia:  A W est  F lemish case-study
81	hirano.tex		Code-switching in the  A nglophone community in  J apan
81	intro.tex		Embracing the future of dialects
81	kend_frid.tex		Mapping the perception of linguistic form:  D ialectometry with perceptual data
81	kuma.tex		Developing the  L inguistic  A tlas of  J apan  D atabase and advancing analysis of geographical distributions of dialects
81	lara.tex		Spontaneous dubbing as a tool for eliciting linguistic data:  The  case of second person plural inflections in  Andalusian Spanish
81	llop.tex		The future of  C atalan dialects’ syntax:  A  case study for a methodological contribution
81	mathus.tex		On the problem of field worker isoglosses
81	monte_wiel.tex		Tracking linguistic features underlying lexical variation patterns:  A  case study on  T uscan dialects
81	nagy.tex		Heritage languages as new dialects
81	onishi.tex		Timespan comparison of dialectal distributions
81	ota_etal.tex		Tonal variation in  K agoshima  J apanese and factors of language change
81	pickl.tex		Fuzzy dialect areas and prototype theory:  D iscovering latent patterns in geolinguistic variation
81	schaf_etal.tex		Imitating closely related varieties
81	skevin.tex		Dialect levelling and changes in semiotic space
81	sprea.tex		s-retraction in Italian-Tyrolean bilingual speakers: A preliminary investigation using the ultrasound tongue imaging technique
81	stoeck.tex		Horizontal and vertical variation in  Swiss German  morphosyntax
81	wiel_monte.tex		Infrequent forms: Noise or not?
81	wolk_szmr.tex		Top-down and bottom-up advances in corpus-based dialectometry
94	01.tex		Change  T itle in chapters/01.tex
94	02.tex		Change title in chapters/02.tex
94	03.tex		Change title in chapters/03.tex
94	Boyle.tex	Hidatsa	The syntax and semantics of internally headed relative clauses in  Hidatsa
94	Cumberland.tex		In his own words:  Robert Rankin  recalls his work with the  Kaw  people and their language
94	Danker.tex	Ho-Chunk	Ba-be-bi-bo-ra:  R efinement of the  Ho-Chunk  syllabary in the nineteenth and twentieth centuries
94	Goodtracks.tex		Perspectives on  Chiwere  revitalization
94	Gordon.tex		Information-structural variations in  Siouan  languages
94	Grant.tex		A forgotten figure in  Siouan  and  Caddoan  linguistics:   Samuel Stehman Haldeman (1812--1880)
94	Greer.tex		Baxoje-Jiwere  grammar sketch 
94	Helmbrecht.tex	Ho-Chunk	NP -internal possessive constructions in  Hoocąk  and other  Siouan  languages
94	Johnson.tex	Ho-Chunk	A description of verb-phrase ellipsis in  Hocąk
94	JohnsonRosenSchuck.tex	Ho-Chunk	Evidence for a  VP  constituent in  Hocąk
94	Kasak.tex		A distant genetic relationship between  Siouan-Catawban  and  Yuchi
94	Kaufman.tex		Two  Siouan  languages walk into a sprachbund
94	Larson.tex		Regular sound shifts in the history of  Siouan
